0.866583 0.937834 13.7182	63.6591 80.315 143.404
2.93411 2.88965 13.661	10.4179 118.154 -150.375
0.915932 4.86317 13.6704	-19.4833 19.2219 47.785
2.98259 6.88276 13.7091	-68.9044 -220.415 -10.1251
1.02357 8.81414 13.7175	81.1208 80.8583 81.9935
2.97859 10.815 13.7082	-10.9477 55.4873 -2.2198
4.86702 0.916539 13.6842	-44.3634 -62.2234 55.2768
6.93357 2.85803 13.6315	-42.5068 103.909 40.517
4.93758 4.89459 13.5889	-45.4035 -0.281279 -51.1161
6.92174 6.79135 13.6942	71.6936 89.6712 45.2197
4.98838 8.83675 13.7659	-58.7788 -14.0379 -71.5231
6.88273 10.7864 13.673	-115.885 -10.0685 -162.226
8.8887 0.91822 13.6414	-66.0826 -25.6129 7.47215
10.7672 2.85513 13.7515	-51.2157 39.3372 -80.954
8.8589 4.84875 13.6999	-83.859 24.224 21.7544
10.7693 6.83322 13.784	-29.2157 -27.9753 -131.378
8.76863 8.79631 13.6274	-94.6919 38.4341 -111.274
10.7355 10.7447 13.6325	18.5053 71.9108 93.1235
0.929899 2.90404 15.658	32.0064 28.5912 -52.029
2.94834 0.957474 15.6289	-94.7525 53.2466 -93.4894
1.1108 6.82479 15.6729	-112.584 -67.4501 26.7677
2.97858 4.80985 15.5962	-36.5232 122.569 29.3241
0.965717 10.8206 15.6559	99.5144 -156.04 -128.991
3.00722 8.85734 15.6806	-14.9571 65.729 -129.835
4.92595 2.90468 15.6624	46.7184 -29.9983 -198.377
6.87447 0.994436 15.6859	-79.8385 30.8438 -80.1242
4.93735 6.83545 15.6843	196.694 21.7263 121.55
6.83219 4.85218 15.7009	32.9608 -166.259 -39.1739
4.93906 10.852 15.6881	86.9587 -9.75563 19.2383
6.90536 8.85004 15.7105	-17.4559 43.2598 62.555
8.85443 2.86317 15.675	-175.049 91.6601 -23.8918
10.7848 0.921845 15.6959	134.08 147.697 57.516
8.80665 6.82598 15.6732	186.84 -67.2488 117.343
10.8088 4.86111 15.7278	-41.1013 -58.3298 22.1779
8.8652 10.8126 15.6881	-7.82234 -20.1184 -60.5041
10.7272 8.79234 15.6832	-25.6107 46.5728 122.559
0.9138 0.941265 17.5842	-69.635 -152.549 -86.127
2.96314 2.90209 17.5542	133.363 127.818 21.6751
1.08139 4.90973 17.6079	-172.817 -79.6855 -107.432
2.98146 6.86936 17.6304	-8.02697 -57.2616 150.753
1.05166 8.80851 17.6329	23.0001 21.1432 -53.8189
2.95425 10.8247 17.618	65.3302 50.0262 53.3919
4.87926 0.938819 17.6257	-48.5749 13.819 -114.166
6.8718 2.9264 17.6721	91.9814 5.2691 110.435
4.93682 4.80775 17.6085	41.2929 10.908 154.336
6.85001 6.87119 17.6201	-22.8302 22.7102 -6.74909
4.91192 8.86893 17.6281	-166.837 51.7533 55.7192
6.85317 10.8296 17.6163	56.1078 -85.6053 -39.3917
8.84355 0.980609 17.6836	106.798 7.4111 52.7632
10.751 2.86668 17.6681	135.491 87.8322 84.47
8.84426 4.83044 17.7072	-185.488 26.2993 -74.4958
10.7802 6.8063 17.6396	-34.1958 -90.4047 -91.0096
8.77906 8.80123 17.6254	29.7578 62.5729 33.1515
10.8043 10.8349 17.5689	-66.4585 97.8304 255.909
0.94863 2.91002 19.5395	8.30218 -44.653 -75.4749
2.87402 0.986889 19.5504	56.8935 -72.7959 67.8855
1.02028 6.86073 19.5742	6.49155 51.4454 38.0695
2.94502 4.78668 19.5806	3.92854 76.9252 47.3235
1.01193 10.7682 19.5382	46.4505 -38.438 116.052
2.95131 8.86558 19.5228	-81.6982 -43.3162 60.2381
4.9074 2.85909 19.622	-77.4803 17.2807 8.52066
6.88602 0.951797 19.6223	-11.7127 -40.9308 48.4548
4.89854 6.81763 19.5291	-134.932 12.7423 16.449
6.86432 4.89846 19.5645	108.744 8.29136 -0.956413
4.91987 10.8136 19.6223	5.01339 111.913 20.2068
6.8297 8.81681 19.5994	-6.34161 80.4481 -42.2068
8.81885 2.95581 19.6692	-54.2283 96.0955 -44.4905
10.7869 0.935057 19.6811	-167.13 -122.702 -62.9641
8.79195 6.86471 19.6557	-130.432 21.014 192.027
10.7224 4.86784 19.6037	52.5991 -105.011 -45.9843
8.81294 10.7958 19.5912	-8.82082 57.2849 1.19089
10.7181 8.8201 19.5271	28.5568 87.9813 -37.88
0.909346 0.967278 21.637	118.021 -2.649 -44.8496
2.99268 2.89011 21.5405	48.7107 79.426 -140.257
1.03278 4.8957 21.5262	-51.5265 -4.04027 116.689
