0.972879 0.964742 13.7048	-13.3247 -1.23053 -13.8706
2.93907 2.92115 13.7229	-24.1815 -4.88706 -4.36867
0.99011 4.8811 13.7193	-6.68359 7.9804 0.583827
2.95428 6.83526 13.7292	0.929849 10.6958 -1.5893
1.00006 8.80466 13.7117	1.5879 18.851 -4.57438
2.96283 10.7697 13.713	0.498285 13.3905 -6.11503
4.8928 0.953826 13.7187	-26.8169 -6.40351 -9.82846
6.85407 2.91264 13.7311	-21.0482 -0.107388 -4.15507
4.9023 4.87717 13.738	-17.5775 4.21598 -0.358634
6.86041 6.83913 13.7367	-10.2756 5.56942 4.63255
4.91241 8.80091 13.7305	3.80941 11.0285 -1.04057
6.8689 10.7721 13.7216	2.43344 1.66889 -7.14765
8.81939 0.959688 13.7084	-24.9196 -2.30813 -15.2817
10.778 2.92358 13.7108	-19.3544 -5.85254 -13.1759
8.81372 4.87751 13.7316	-14.8707 -8.42842 -1.11929
10.7719 6.84257 13.7223	-13.7026 -13.2542 -6.52665
8.81518 8.80129 13.7204	-5.0461 -4.12362 -5.96236
10.7739 10.7652 13.7026	4.04949 -4.49627 -17.1121
0.981504 2.94638 15.6893	14.4816 -14.2014 6.52436
2.93887 0.982147 15.6896	14.9737 -5.98666 2.48556
0.976879 6.87014 15.6947	-14.6536 -20.5253 1.42377
2.94375 4.90548 15.6963	7.14745 -15.17 2.84489
0.978736 10.7875 15.6885	-11.8907 -13.2418 -7.62298
2.94007 8.8299 15.6942	-11.6403 -27.7636 -5.98936
4.90268 2.9378 15.6967	15.8901 1.40712 -3.61725
6.84999 0.968533 15.6958	13.2885 3.75134 -2.17533
4.90719 6.86735 15.6992	-2.55407 -16.9929 1.75863
6.86587 4.89567 15.697	6.01244 -3.63142 -2.90904
4.90522 10.7885 15.6938	-14.9193 -28.7486 -9.25727
6.86785 8.82623 15.6957	-18.0316 -26.3822 10.2661
8.815 2.92363 15.6957	12.963 1.47363 2.59204
10.7654 0.965638 15.6895	14.7535 -3.18004 11.4435
8.82449 6.85817 15.6947	-8.31516 -9.08624 15.4864
10.7753 4.88731 15.6961	11.0666 -3.89882 9.3317
8.82366 10.784 15.6862	-27.2182 -9.69454 15.9816
10.7794 8.82244 15.688	-9.37374 -7.83946 17.4089
0.977743 0.998251 17.6389	8.15125 1.88192 -1.58505
2.93683 2.95948 17.6384	21.9911 4.40248 -5.57569
0.972483 4.9167 17.6365	14.703 -10.473 -2.6198
2.9327 6.8775 17.6343	29.2231 -19.8439 -6.53389
0.973465 8.83361 17.6375	28.2727 -45.3423 16.7299
2.93646 10.791 17.6357	28.3916 -24.837 25.3615
4.89258 0.99935 17.6408	14.5354 -0.358732 8.67038
6.85243 2.95742 17.6439	0.765919 15.6902 4.98455
4.89758 4.9216 17.6402	27.4399 6.93321 -12.8319
6.85989 6.87948 17.6387	9.66016 -5.40184 -24.4238
4.89675 8.83217 17.6335	23.4799 -37.1031 -6.19835
6.86089 10.7883 17.6334	0.414797 -17.045 -9.33309
8.80492 0.986319 17.6419	-6.98504 6.23462 4.66238
10.7695 2.94302 17.6429	2.2808 13.4986 -11.0121
8.81869 4.91485 17.6423	-9.62766 14.8933 -7.93241
10.7814 6.87128 17.6367	-4.03238 -5.69483 -10.7001
8.82299 8.83426 17.6367	-12.0033 -23.1421 -25.1803
10.7865 10.7899 17.637	-2.30244 0.561332 -15.3346
0.972251 2.94021 19.5908	2.25385 15.3229 -1.64301
2.93738 0.991082 19.5884	10.3164 8.16862 -7.30792
0.971781 6.86644 19.5904	5.88581 3.0825 -14.4785
2.92834 4.90475 19.5832	5.53383 1.68826 7.37894
0.970536 10.7855 19.5994	6.14798 4.96283 -25.6393
2.93073 8.82647 19.5895	10.6624 -0.0112157 -15.7559
4.89696 2.95182 19.5797	9.48432 -2.81841 1.44949
6.8642 0.999816 19.5866	11.3385 -11.3776 -12.4633
4.89271 6.86839 19.5756	12.2044 0.479284 11.5591
6.86144 4.91341 19.5748	6.03421 -6.96822 9.13983
4.8933 10.7801 19.5893	1.95899 4.61047 -14.818
6.86013 8.82605 19.5802	3.24253 -7.79951 6.43833
8.82441 2.95735 19.5837	5.42324 -4.66681 -2.97139
10.7808 0.994183 19.5933	4.62137 -2.07348 -11.0152
8.82853 6.8733 19.5806	-0.405152 -8.60608 11.689
10.785 4.91337 19.5836	2.97942 -0.392386 1.05218
8.8237 10.7839 19.5873	-4.11979 -2.79057 -7.99789
10.7896 8.8302 19.5912	0.855599 -8.2499 3.78356
0.990606 0.968836 21.5801	3.16899 12.979 17.0885
2.94869 2.92765 21.5596	-8.40332 14.3856 10.3262
0.984738 4.89136 21.5592	-7.25113 10.559 7.76591
2.93971 6.85255 21.5526	-4.82717 23.7064 10.8561
0.976781 8.80854 21.5706	-4.74898 18.7324 18.0019
2.93057 10.7736 21.5695	-3.55209 19.5488 21.5842
4.91636 0.975768 21.5562	-12.7943 12.9406 12.8521
