0.982014 0.986938 13.7074	-21.9673 -14.3189 16.8791
2.94221 2.94703 13.7202	-20.3538 -15.1331 22.9131
0.981722 4.90674 13.7205	-20.0792 -13.8443 22.7805
2.94241 6.86494 13.7267	-18.049 -13.9365 25.2311
0.981352 8.82417 13.7142	-16.9591 -13.9587 19.1174
2.94146 10.7844 13.7143	-14.385 -14.9209 19.5863
4.90086 0.985184 13.7203	-21.4274 -16.4568 22.5596
6.85948 2.94515 13.7266	-19.8446 -14.9089 25.2823
4.90147 4.9056 13.7326	-18.5705 -14.7361 28.2127
6.86055 6.86382 13.7327	-17.5839 -13.4774 28.0463
4.90167 8.82369 13.7267	-15.8159 -14.6187 25.2787
6.86001 10.7839 13.7207	-14.2351 -14.3058 22.5122
8.81791 0.983106 13.7141	-22.4081 -14.4172 18.8621
10.7788 2.94258 13.7143	-22.0826 -13.2547 19.3846
8.81918 4.9038 13.7268	-19.9591 -12.8026 25.2531
10.7803 6.86139 13.7208	-20.1894 -12.0285 22.3016
8.82005 8.82249 13.7205	-17.2715 -12.5964 22.1578
10.7803 10.7819 13.7078	-16.1421 -12.2529 16.4688
0.979199 2.94325 15.6959	11.602 8.97299 -32.7796
2.93892 0.983508 15.6959	9.89474 9.3836 -32.0502
0.979985 6.86565 15.6986	10.9681 6.27396 -33.626
2.93901 4.90386 15.7008	10.4175 6.82895 -34.092
0.98056 10.7856 15.6934	9.79638 8.7036 -32.2334
2.93986 8.82576 15.6984	9.39837 6.70689 -34.1479
4.89972 2.94248 15.7008	8.27945 8.18375 -33.6657
6.86117 0.982622 15.6985	7.02814 8.84056 -32.478
4.90007 6.8645 15.7032	8.04629 5.45568 -35.9389
6.86092 4.90272 15.7031	7.83431 6.16741 -35.8931
4.9006 10.7842 15.6985	6.80102 7.76567 -34.134
6.86154 8.8242 15.7009	6.50581 5.48576 -36.3482
8.82153 2.94141 15.6984	9.10466 7.78177 -33.8382
10.7809 0.980901 15.6934	10.9764 7.89028 -31.5592
8.82173 6.86322 15.701	8.46362 4.29405 -36.4616
10.7809 4.90121 15.6988	11.3362 4.81344 -34.2335
8.82211 10.7825 15.6961	7.21113 6.76638 -35.2782
10.7813 8.82247 15.6963	9.85571 3.93258 -35.2054
0.981443 0.978138 17.6399	21.8115 16.8347 -0.215516
2.94202 2.93854 17.6398	24.1845 19.9162 -0.289077
0.981452 4.89762 17.6397	20.6643 18.2784 -0.319865
2.94159 6.85685 17.6399	23.8713 13.4622 -0.144165
0.981359 8.81691 17.6397	20.6555 10.8567 -0.259336
